drug_key,japanese_name,english_name,generic_name,drug_class,product_or_class,input_candidate_status,search_query,pmda_search_url,pmda_product_url,product_name,generic_name_pmda,manufacturer,formulation,strength,approval_or_listing_status,source_status,last_source_check_date,human_review_required,facility_confirmation_required,notes
apixaban,アピキサバン,apixaban,apixaban,抗凝固薬,product_candidate,candidate_list_not_facility_confirmed,アピキサバン OR apixaban OR apixaban OR factor Xa inhibitor,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
edoxaban,エドキサバン,edoxaban,edoxaban,抗凝固薬,product_candidate,candidate_list_not_facility_confirmed,エドキサバン OR edoxaban OR edoxaban OR factor Xa inhibitor,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
rivaroxaban,リバーロキサバン,rivaroxaban,rivaroxaban,抗凝固薬,product_candidate,candidate_list_not_facility_confirmed,リバーロキサバン OR rivaroxaban OR rivaroxaban OR factor Xa inhibitor,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
unfractionated_heparin,未分画ヘパリン,unfractionated heparin,heparin,抗凝固薬,product_candidate,candidate_list_not_facility_confirmed,未分画ヘパリン OR heparin OR unfractionated heparin OR UFH OR ヘパリン,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
enoxaparin,エノキサパリン,enoxaparin,enoxaparin,抗凝固薬,product_candidate,candidate_list_not_facility_confirmed,エノキサパリン OR enoxaparin OR enoxaparin OR LMWH,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
dalteparin,ダルテパリン,dalteparin,dalteparin,抗凝固薬,product_candidate,candidate_list_not_facility_confirmed,ダルテパリン OR dalteparin OR dalteparin OR LMWH,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
fondaparinux,フォンダパリヌクス,fondaparinux,fondaparinux,抗凝固薬,product_candidate,candidate_list_not_facility_confirmed,フォンダパリヌクス OR fondaparinux OR fondaparinux OR synthetic pentasaccharide,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
argatroban,アルガトロバン,argatroban,argatroban,抗凝固薬,product_candidate,candidate_list_not_facility_confirmed,アルガトロバン OR argatroban OR argatroban OR direct thrombin inhibitor,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
urokinase,ウロキナーゼ,urokinase,urokinase,抗凝固薬,product_candidate,candidate_list_not_facility_confirmed,ウロキナーゼ OR urokinase OR urokinase OR thrombolytic,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
alteplase,アルテプラーゼ,alteplase,alteplase,抗凝固薬,product_candidate,candidate_list_not_facility_confirmed,アルテプラーゼ OR alteplase OR alteplase OR rt-PA OR tPA,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
aspirin,アスピリン,aspirin,aspirin,抗血小板薬,product_candidate,candidate_list_not_facility_confirmed,アスピリン OR aspirin OR aspirin OR ASA,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
clopidogrel,クロピドグレル,clopidogrel,clopidogrel,抗血小板薬,product_candidate,candidate_list_not_facility_confirmed,クロピドグレル OR clopidogrel OR clopidogrel,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
prasugrel,プラスグレル,prasugrel,prasugrel,抗血小板薬,product_candidate,candidate_list_not_facility_confirmed,プラスグレル OR prasugrel OR prasugrel,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
ticagrelor,チカグレロル,ticagrelor,ticagrelor,抗血小板薬,product_candidate,candidate_list_not_facility_confirmed,チカグレロル OR ticagrelor OR ticagrelor,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
cilostazol,シロスタゾール,cilostazol,cilostazol,抗血小板薬,product_candidate,candidate_list_not_facility_confirmed,シロスタゾール OR cilostazol OR cilostazol,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
sarpogrelate,サルポグレラート,sarpogrelate,sarpogrelate,抗血小板薬,product_candidate,candidate_list_not_facility_confirmed,サルポグレラート OR sarpogrelate OR sarpogrelate,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
protamine,プロタミン,protamine,protamine,反転薬・止血薬・血液製剤,product_candidate,candidate_list_not_facility_confirmed,プロタミン OR protamine OR protamine,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
idarucizumab,イダルシズマブ,idarucizumab,idarucizumab,反転薬・止血薬・血液製剤,product_candidate,candidate_list_not_facility_confirmed,イダルシズマブ OR idarucizumab OR idarucizumab,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
andexanet_alfa,アンデキサネット アルファ,andexanet alfa,andexanet alfa,反転薬・止血薬・血液製剤,product_candidate,candidate_list_not_facility_confirmed,アンデキサネット アルファ OR andexanet alfa OR andexanet alfa,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
pcc_class,PCC,prothrombin complex concentrate,prothrombin complex concentrate,反転薬・止血薬・血液製剤,blood_product_class,candidate_list_not_facility_confirmed,PCC OR prothrombin complex concentrate OR prothrombin complex concentrate OR PCC OR プロトロンビン複合体製剤,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,requires_facility_confirmation,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
apcc_class,活性型PCC,activated prothrombin complex concentrate,activated prothrombin complex concentrate,反転薬・止血薬・血液製剤,blood_product_class,candidate_list_not_facility_confirmed,活性型PCC OR activated prothrombin complex concentrate OR activated prothrombin complex concentrate OR aPCC OR 活性型プロトロンビン複合体製剤,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,requires_facility_confirmation,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
fresh_frozen_plasma,FFP,fresh frozen plasma,fresh frozen plasma,反転薬・止血薬・血液製剤,transfusion_product_class,candidate_list_not_facility_confirmed,FFP OR fresh frozen plasma OR fresh frozen plasma OR 新鮮凍結血漿,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,requires_facility_confirmation,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
platelet_transfusion,血小板輸血,platelet transfusion,platelet concentrate,反転薬・止血薬・血液製剤,transfusion_product_class,candidate_list_not_facility_confirmed,血小板輸血 OR platelet concentrate OR platelet transfusion OR PC OR 濃厚血小板,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,requires_facility_confirmation,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
red_blood_cell_concentrate,赤血球濃厚液,red blood cell concentrate,red blood cell concentrate,反転薬・止血薬・血液製剤,transfusion_product_class,candidate_list_not_facility_confirmed,赤血球濃厚液 OR red blood cell concentrate OR red blood cell concentrate OR RBC OR RCC,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,requires_facility_confirmation,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
fibrinogen_product,フィブリノゲン製剤,fibrinogen product,fibrinogen concentrate,反転薬・止血薬・血液製剤,blood_product_class,candidate_list_not_facility_confirmed,フィブリノゲン製剤 OR fibrinogen concentrate OR fibrinogen product,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,requires_facility_confirmation,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
cryoprecipitate,クリオプレシピテート,cryoprecipitate,cryoprecipitate,反転薬・止血薬・血液製剤,transfusion_product_class,candidate_list_not_facility_confirmed,クリオプレシピテート OR cryoprecipitate OR cryoprecipitate OR クリオ,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,requires_facility_confirmation,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
tranexamic_acid,トラネキサム酸,tranexamic acid,tranexamic acid,反転薬・止血薬・血液製剤,product_candidate,candidate_list_not_facility_confirmed,トラネキサム酸 OR tranexamic acid OR tranexamic acid OR TXA,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
rfviia,rFVIIa,recombinant activated factor VII,eptacog alfa,反転薬・止血薬・血液製剤,blood_product_class,candidate_list_not_facility_confirmed,rFVIIa OR eptacog alfa OR recombinant activated factor VII OR 遺伝子組換え活性型第VII因子,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,requires_facility_confirmation,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
desmopressin,デスモプレシン,desmopressin,desmopressin,反転薬・止血薬・血液製剤,product_candidate,candidate_list_not_facility_confirmed,デスモプレシン OR desmopressin OR desmopressin OR DDAVP,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
vitamin_k,ビタミンK,vitamin K,phytonadione / menatetrenone,反転薬・止血薬・血液製剤,requires_pmda_product_resolution,candidate_list_not_facility_confirmed,ビタミンK OR phytonadione / menatetrenone OR vitamin K OR VK,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,unresolved_requires_product_name,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
albumin,アルブミン,human serum albumin,human serum albumin,反転薬・止血薬・血液製剤,blood_product_class,candidate_list_not_facility_confirmed,アルブミン OR human serum albumin OR human serum albumin OR HSA,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,requires_facility_confirmation,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
vancomycin,バンコマイシン,vancomycin,vancomycin,抗菌薬・抗真菌薬・抗ウイルス薬,product_candidate,candidate_list_not_facility_confirmed,バンコマイシン OR vancomycin OR vancomycin OR VCM,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
teicoplanin,テイコプラニン,teicoplanin,teicoplanin,抗菌薬・抗真菌薬・抗ウイルス薬,product_candidate,candidate_list_not_facility_confirmed,テイコプラニン OR teicoplanin OR teicoplanin OR TEIC,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
meropenem,メロペネム,meropenem,meropenem,抗菌薬・抗真菌薬・抗ウイルス薬,product_candidate,candidate_list_not_facility_confirmed,メロペネム OR meropenem OR meropenem OR MEPM,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
cefazolin,セファゾリン,cefazolin,cefazolin,抗菌薬・抗真菌薬・抗ウイルス薬,product_candidate,candidate_list_not_facility_confirmed,セファゾリン OR cefazolin OR cefazolin OR CEZ,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
cefepime,セフェピム,cefepime,cefepime,抗菌薬・抗真菌薬・抗ウイルス薬,product_candidate,candidate_list_not_facility_confirmed,セフェピム OR cefepime OR cefepime OR CFPM,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
ceftazidime,セフタジジム,ceftazidime,ceftazidime,抗菌薬・抗真菌薬・抗ウイルス薬,product_candidate,candidate_list_not_facility_confirmed,セフタジジム OR ceftazidime OR ceftazidime OR CAZ,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
ceftriaxone,セフトリアキソン,ceftriaxone,ceftriaxone,抗菌薬・抗真菌薬・抗ウイルス薬,product_candidate,candidate_list_not_facility_confirmed,セフトリアキソン OR ceftriaxone OR ceftriaxone OR CTRX,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
cefotaxime,セフォタキシム,cefotaxime,cefotaxime,抗菌薬・抗真菌薬・抗ウイルス薬,product_candidate,candidate_list_not_facility_confirmed,セフォタキシム OR cefotaxime OR cefotaxime OR CTX,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
ampicillin,アンピシリン,ampicillin,ampicillin,抗菌薬・抗真菌薬・抗ウイルス薬,product_candidate,candidate_list_not_facility_confirmed,アンピシリン OR ampicillin OR ampicillin OR ABPC,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
sulbactam_ampicillin,スルバクタム/アンピシリン,sulbactam/ampicillin,sulbactam/ampicillin,抗菌薬・抗真菌薬・抗ウイルス薬,combination_product_candidate,candidate_list_not_facility_confirmed,スルバクタム/アンピシリン OR sulbactam/ampicillin OR sulbactam/ampicillin OR SBT/ABPC,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
piperacillin_tazobactam,ピペラシリン/タゾバクタム,piperacillin/tazobactam,piperacillin/tazobactam,抗菌薬・抗真菌薬・抗ウイルス薬,combination_product_candidate,candidate_list_not_facility_confirmed,ピペラシリン/タゾバクタム OR piperacillin/tazobactam OR piperacillin/tazobactam OR PIPC/TAZ,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
linezolid,リネゾリド,linezolid,linezolid,抗菌薬・抗真菌薬・抗ウイルス薬,product_candidate,candidate_list_not_facility_confirmed,リネゾリド OR linezolid OR linezolid OR LZD,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
daptomycin,ダプトマイシン,daptomycin,daptomycin,抗菌薬・抗真菌薬・抗ウイルス薬,product_candidate,candidate_list_not_facility_confirmed,ダプトマイシン OR daptomycin OR daptomycin OR DAP,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
levofloxacin,レボフロキサシン,levofloxacin,levofloxacin,抗菌薬・抗真菌薬・抗ウイルス薬,product_candidate,candidate_list_not_facility_confirmed,レボフロキサシン OR levofloxacin OR levofloxacin OR LVFX,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
ciprofloxacin,シプロフロキサシン,ciprofloxacin,ciprofloxacin,抗菌薬・抗真菌薬・抗ウイルス薬,product_candidate,candidate_list_not_facility_confirmed,シプロフロキサシン OR ciprofloxacin OR ciprofloxacin OR CPFX,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
metronidazole,メトロニダゾール,metronidazole,metronidazole,抗菌薬・抗真菌薬・抗ウイルス薬,product_candidate,candidate_list_not_facility_confirmed,メトロニダゾール OR metronidazole OR metronidazole OR MNZ,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
