gap_drug_key,gap_japanese_name,gap_source_status,child_in_inventory,child_pmda_product_url,child_product_name,child_source_status,child_pilot_batch_ids,overlap_category,reconcile_eligible,product_match_note,planned_micro_batch
albumin,アルブミン製剤,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/6343410X5253?user=1,献血アルブミン25％静注12.5g/50mL「タケダ」,verified_primary_source,A-PMDA-011,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-005+
ampicillin,アンピシリン,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/6131400D1078?user=1,ビクシリン注射用1g,verified_primary_source,A-PMDA-013,gap_only,manual_pmda_url_required,,G-005+
cefotaxime,セフォタキシム,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/6132409D2056?user=1,クラフォラン注射用1g,verified_primary_source,A-PMDA-013,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-005+
sulbactam_ampicillin,スルバクタム/アンピシリン,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/6139504G1028?user=1,ユナシン−Sキット静注用1.5g,verified_primary_source,A-PMDA-013,gap_only,manual_pmda_url_required,,G-005+
metronidazole,メトロニダゾール,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/6419401A1027?user=1,アネメトロ点滴静注液500mg,verified_primary_source,A-PMDA-015,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-005+
levofloxacin,レボフロキサシン,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/6241402A1021?user=1,クラビット点滴静注500mg/20mL,verified_primary_source,A-PMDA-014,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-005+
tolvaptan,トルバプタン,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/2139011D1022?user=1,サムスカOD錠7.5mg,verified_primary_source,A-PMDA-021,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-005+
fludrocortisone,フルドロコルチゾン,manual_review_required,no,,,,,gap_only,manual_pmda_url_required,,G-005+
furosemide,フロセミド,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/2139401A2137?user=1,ラシックス注20mg,verified_primary_source,A-PMDA-016,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-005+
levothyroxine,レボチロキシン,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/2431004F1056?user=1,チラーヂンS錠50μg,verified_primary_source,A-PMDA-021,gap_only,manual_pmda_url_required,,G-005+
landiolol,ランジオロール塩酸塩,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/2123404D2021?user=1,コアベータ静注用12.5mg,verified_primary_source,A-PMDA-019,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-005+
esmolol,エスモロール塩酸塩,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/2123405A1023?user=1,ブレビブロック注100mg,verified_primary_source,A-PMDA-019,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-005+
nitroglycerin,ニトログリセリン,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/2171403A1030?user=1,ミリスロール注1mg／2mL,verified_primary_source,A-PMDA-018,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-005+
nitroprusside,ニトロプルシドナトリウム,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/2149401A1030?user=1,ニトプロ持続静注液6mg,verified_primary_source,A-PMDA-019,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-005+
