file_path,line_or_section,original_expression,expression_type,current_context,proposed_japanese_expression,auto_rewrite_allowed,clinical_meaning_change_risk,human_review_required,priority,status,reviewer,review_date,notes
knowledge/06_PATIENT_STATE_NOTES.md,anticoagulant exposure,reversal,clinical_english,drug class split before reversal,中和・拮抗・代替対応,conditional,medium,yes,high,HUMAN_REVIEW_REQUIRED,,,
knowledge/01_START_HERE_AND_POSITIONING.md,Integrated policy boundary export,operator-side,audit_term,policy boundary operator wording,運用者向けの位置づけと禁止事項,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-007
knowledge/01_START_HERE_AND_POSITIONING.md,Integrated policy boundary export,upload safe,audit_term,upload safe residual in policy section,Custom GPT Knowledgeへの投入承認,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-002
knowledge/01_START_HERE_AND_POSITIONING.md,Integrated policy boundary export,upload 可否,audit_term,upload eligibility residual wording,Custom GPT Knowledgeへの投入可否,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-003
knowledge/01_START_HERE_AND_POSITIONING.md,Integrated governance boundary export,Reference corpora,audit_term,reference corpora heading,参考資料群（Reference corpora：Knowledge投入対象外）,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-003
GLOBAL,style_rule,sibling,audit_term,workspace sibling reference wording,ワークスペース内の参考資料群,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-004 applied knowledge/01 L118
GLOBAL,style_rule,reference corpus,audit_term,PMDA reference corpus wording,PMDA参考資料群（reference corpus）,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-004 applied knowledge/01 L118
GLOBAL,style_rule,source register,audit_term,product-level source register wording,製品単位の出典登録作業,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-004 applied knowledge/01 L118
GLOBAL,style_rule,source class,audit_term,source classification ordering,資料の種類に順番を付けていても処方上の優先順位ではない,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-005 applied knowledge/09 L116
GLOBAL,style_rule,prescribing hierarchy,audit_term,prescribing priority ordering,資料の種類に順番を付けていても処方上の優先順位ではない,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-005 applied knowledge/09 L116
GLOBAL,style_rule,package,audit_term,knowledge package wording,Knowledge package（文書群）,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-13-002 applied knowledge/13 L39
knowledge/04_DISEASE_NOTES.md,感染制御・標準化しない事項,antibiogram,clinical_english,antibiogram without Japanese gloss in infection section,施設・地域の薬剤感受性傾向をまとめた資料（antibiogram）,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-04-002
knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,見出し,clinician-facing summary,audit_term,summary section heading,医療従事者向け要約（clinician-facing summary）,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-002
knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,Drug label source hierarchy,source class,audit_term,source class ordering boundary,資料の種類に順番を付けていても処方上の優先順位ではない,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-005
knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,Drug label source hierarchy,prescribing hierarchy,audit_term,prescribing hierarchy boundary,資料の種類に順番を付けていても処方上の優先順位ではない,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-005
knowledge/13_AUDIT_LOGS_AND_UPDATE_OPERATIONS.md,見出し,clinician-facing summary,audit_term,summary section heading,医療従事者向け要約（clinician-facing summary）,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-13-002
knowledge/13_AUDIT_LOGS_AND_UPDATE_OPERATIONS.md,医療従事者向け要約,package,audit_term,package wording in summary,Knowledge package（文書群）,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-13-002
knowledge/01_START_HERE_AND_POSITIONING.md,Integrated policy boundary export,sibling / reference corpus / source register,audit_term,PMDA reference corpus boundary,PMDA参考資料群・出典登録作業の正本,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-004
GLOBAL,style_rule,repo-local,audit_term,repository-local tracking fact,リポジトリ内での作業進捗,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-005 knowledge/01 L119
GLOBAL,style_rule,register,audit_term,source register update,出典登録の更新,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-005 knowledge/01 L119
GLOBAL,style_rule,source traceability,audit_term,source tracing requirement,出典を追跡できる,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-005 knowledge/01 L121
GLOBAL,style_rule,frontmatter,audit_term,yaml frontmatter metadata,メタデータへの明記,yes,low,yes,low,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-005 paraphrased in knowledge/01 L121
GLOBAL,style_rule,summary layer,audit_term,summary layer export,要約ファイル,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-005 knowledge/01 L121
GLOBAL,style_rule,corpus,audit_term,reference corpus wording,作業資料・参考資料群,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-005 knowledge/01 L126
GLOBAL,style_rule,archive,audit_term,gap v3 archive wording,gap v3関連の参考資料,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-005 knowledge/01 L126
GLOBAL,style_rule,ledger,audit_term,migration ledger tracking,台帳管理・台帳行,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-005 knowledge/01 L126; JP-STYLE-09-003 knowledge/09
GLOBAL,style_rule,caution,audit_term,caution wording in knowledge,注意事項,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-003 knowledge/09 L31
GLOBAL,style_rule,Evidence,audit_term,evidence checklist wording,エビデンスは候補を検討するための重要な材料。院内採用・処方指示・EHR入力・オーダーセット登録は確定しない,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-005 knowledge/09 L39 L99
GLOBAL,style_rule,guideline,audit_term,guideline reference wording,国内外ガイドライン / ガイドライン,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-006 knowledge/09 L35 L114
GLOBAL,style_rule,trial,audit_term,clinical trial reference wording,臨床試験,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-003 knowledge/09 L39
GLOBAL,style_rule,order,audit_term,order set / order化 wording,院内採用・処方指示・電子カルテ上の入力可否・オーダーセット登録,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-005 knowledge/09 L39 L99
GLOBAL,style_rule,オーダー化,audit_term,ambiguous order化 wording,院内採用・処方指示・電子カルテ上の入力可否・オーダーセット登録,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-005 knowledge/09 L39
GLOBAL,style_rule,order化,audit_term,ambiguous order化 wording,院内採用・処方指示・電子カルテ上の入力可否・オーダーセット登録,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-005 knowledge/09 L99
GLOBAL,style_rule,gap supplement,audit_term,gap supplement reference,一般名ベースの補足資料,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-003 knowledge/09 gap v3 section
GLOBAL,style_rule,reference profile,audit_term,reference profile index use,人間レビュー後の索引,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-003 knowledge/09 gap v3 section
GLOBAL,style_rule,user-facing conclusion,audit_term,user-facing conclusion quarantine,同じものとして扱う結論は回答・Knowledge反映対象から外す,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-005 knowledge/09 L121
GLOBAL,style_rule,quarantine,audit_term,quarantine unresolved status,誤用につながるおそれがあるため回答・Knowledge反映対象から外す,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-005 knowledge/09 L121
GLOBAL,style_rule,unresolved,audit_term,unresolved safety status,誤用につながるおそれがあるため回答・Knowledge反映対象から外す,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-005 knowledge/09 L121
knowledge/01_START_HERE_AND_POSITIONING.md,Integrated policy boundary export,pmda_resolved_count,audit_term,PMDA resolved count tracking,PMDA参考資料群の確認件数,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-005
knowledge/01_START_HERE_AND_POSITIONING.md,Integrated policy boundary export,candidate_list_not_facility_confirmed,audit_term,unconfirmed facility drug list,施設採用未確認の候補リスト,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-005
knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,このファイルの役割,caution,audit_term,caution in role section,注意事項,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-003
knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,添付文書・ガイドライン・施設資料を混同しないための注意点,reviewed boundary summary,audit_term,reviewed boundary summary source,混同を避けるための確認済み要約,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-005
knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,ガイドライン記載と添付文書上の扱いを混同しない,user-facing conclusion,audit_term,user-facing conclusion boundary,同じものとして扱う結論は回答・Knowledge反映対象から外す,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-005
GLOBAL,style_rule,safety boundary,audit_term,safety boundary abstract wording,添付文書・ガイドライン・施設資料を混同しないための注意点,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-005 knowledge/09 L107; JP-STYLE-01-007 knowledge/01 L122
GLOBAL,style_rule,facility confirmation,audit_term,facility confirmation abstract wording,採用薬一覧・薬剤部手順・委員会承認・電子カルテ薬剤マスタをそれぞれ確認,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-005 knowledge/09 L115
GLOBAL,style_rule,別管理,audit_term,separate management ambiguous wording,いずれか一つに記載があるだけで処方や運用に使えるとは判断しない,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-005 knowledge/09 L115
GLOBAL,style_rule,施設確認事項,audit_term,facility confirmation items abstract wording,採用薬一覧・薬剤部手順・委員会承認・電子カルテ薬剤マスタをそれぞれ確認,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-005 knowledge/09 L115
GLOBAL,style_rule,guideline,audit_term,guideline label separation,ガイドライン記載と添付文書上の扱いを混同しない,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-005 knowledge/09 L118
GLOBAL,style_rule,label,audit_term,guideline label separation,ガイドライン記載と添付文書上の扱いを混同しない,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-005 knowledge/09 L118
knowledge/01_START_HERE_AND_POSITIONING.md,この資料の使用範囲と禁止事項,統合ガバナンス上の安全境界,audit_term,governance safety boundary heading,この資料の使用範囲と禁止事項,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-007
knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,Drug label source hierarchy,facility confirmation,audit_term,facility confirmation separate management,採用薬一覧・薬剤部手順・委員会承認・電子カルテ薬剤マスタをそれぞれ確認,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-005
knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,Evidence の使い方,Evidence / order化,audit_term,evidence order化 boundary,エビデンスは候補を検討するための重要な材料。院内採用・処方指示・EHR入力・オーダーセット登録は確定しない,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-005
knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,製品単位添付文書,reference / ledger,audit_term,ledger registration not label confirmation,台帳登録は添付文書確認済みではない,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-003
knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,evidence section,blind copy,audit_term,ledger is not blind copy permission,内容確認なしにKnowledgeへ転記禁止,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-003
GLOBAL,style_rule,manufacturer documents,audit_term,manufacturer documents English wording,製造販売業者資料,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-006 knowledge/09 L114
GLOBAL,style_rule,summary,audit_term,ambiguous summary wording,回答や要約は作成しない,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-006 knowledge/09 L120
GLOBAL,style_rule,governance,audit_term,governance boundary export heading,この資料で判断してはいけないこと / この資料の使用範囲と禁止事項,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-006 knowledge/09 L122; JP-STYLE-01-008 knowledge/01 L114
GLOBAL,style_rule,boundary,audit_term,boundary export heading,この資料で判断してはいけないこと / この資料の使用範囲と禁止事項,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-006; JP-STYLE-01-008
GLOBAL,style_rule,export,audit_term,boundary export heading,この資料で判断してはいけないこと / この資料の使用範囲と禁止事項,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-006; JP-STYLE-01-008
knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,この資料で判断してはいけないこと,Integrated governance boundary export,audit_term,governance boundary export heading,この資料で判断してはいけないこと,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-006
knowledge/01_START_HERE_AND_POSITIONING.md,この資料の使用範囲と禁止事項,Integrated policy boundary export,audit_term,policy boundary export heading,この資料の使用範囲と禁止事項（Runbook Commit 10）,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-008
knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,医療従事者向け要約,guideline,audit_term,guideline in clinician summary,国内外ガイドライン,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-006
knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,薬剤ラベル情報の確認順序,manufacturer documents,audit_term,manufacturer documents in source hierarchy,製造販売業者資料,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-006
knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,ガイドライン記載と添付文書上の扱いを混同しない,summary,audit_term,summary in guideline boundary,回答や要約は作成しない,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-006
