drug_key,japanese_name,english_name,drug_class,profile_path,pmda_product_level_verified,source_status,knowledge_layer_status,human_review_required,facility_confirmation_required,operator_side_required,notes
low_molecular_weight_heparin,低分子ヘパリン,low molecular weight heparin,抗凝固薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antithrombotics/low_molecular_weight_heparin.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,製品差、腎機能、適応、反転限界を製品単位で確認する。未分画ヘパリンと同一視しない。
fondaparinux,フォンダパリヌクス,fondaparinux,抗凝固薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antithrombotics/fondaparinux.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,腎機能、適応、出血時対応を製品単位で確認する。ヘパリン類と単純同一視しない。
aspirin,アスピリン,aspirin,抗血小板薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antithrombotics/aspirin.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,一次予防、二次予防、周術期、出血時、抗血小板反転文脈を分ける。
clopidogrel,クロピドグレル,clopidogrel,抗血小板薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antithrombotics/clopidogrel.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,ステント、脳梗塞再発予防、手術予定、CYP相互作用、出血時対応を分ける。
prasugrel,プラスグレル,prasugrel,抗血小板薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antithrombotics/prasugrel.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,国内添付文書で脳血管イベント関連の制限を確認する。海外一般論で扱わない。
ticagrelor,チカグレロル,ticagrelor,抗血小板薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antithrombotics/ticagrelor.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,国内承認、適応、出血リスク、徐脈・呼吸器症状、相互作用を確認する。
cilostazol,シロスタゾール,cilostazol,抗血小板薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antithrombotics/cilostazol.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,脳梗塞再発予防とその他の神経血管疾患研究をエビデンスレベルで分ける。
sarpogrelate,サルポグレラート,sarpogrelate,抗血小板薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antithrombotics/sarpogrelate.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,適応、脳神経外科での位置づけ、出血リスクを製品単位で確認する。
protamine,プロタミン,protamine,反転・止血・血液製剤,02_DRUG_PROFILES_SAFE_KNOWLEDGE/reversal_hemostasis_blood_products/protamine.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,未分画ヘパリン、LMWH、投与時刻、検査、過敏反応を分ける。具体量はoperator-side。
idarucizumab,イダルシズマブ,idarucizumab,反転・止血・血液製剤,02_DRUG_PROFILES_SAFE_KNOWLEDGE/reversal_hemostasis_blood_products/idarucizumab.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,ダビガトラン特異的反転として扱い、Xa阻害薬反転と混同しない。
andexanet_alfa,アンデキサネット アルファ,andexanet alfa,反転・止血・血液製剤,02_DRUG_PROFILES_SAFE_KNOWLEDGE/reversal_hemostasis_blood_products/andexanet_alfa.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,Xa阻害薬反転文脈で扱う。国内承認、適応、施設採用、保険、在庫を確認する。
pcc,PCC,prothrombin complex concentrate,反転・止血・血液製剤,02_DRUG_PROFILES_SAFE_KNOWLEDGE/reversal_hemostasis_blood_products/pcc.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,VKA、DOAC、製品差、国内適応を分ける。PCCとaPCCを同一視しない。
apcc,活性型PCC,activated prothrombin complex concentrate,反転・止血・血液製剤,02_DRUG_PROFILES_SAFE_KNOWLEDGE/reversal_hemostasis_blood_products/apcc.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,PCCとは別扱い。血栓リスク、適応、製品情報、専門家確認を必須にする。
ffp,FFP,fresh frozen plasma,反転・止血・血液製剤,02_DRUG_PROFILES_SAFE_KNOWLEDGE/reversal_hemostasis_blood_products/ffp.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,輸血製剤として適応、容量負荷、検査、輸血部門運用を確認する。
platelet_transfusion,血小板輸血,platelet transfusion,反転・止血・血液製剤,02_DRUG_PROFILES_SAFE_KNOWLEDGE/reversal_hemostasis_blood_products/platelet_transfusion.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,血小板数、抗血小板薬、手術予定、出血部位、輸血指針を分ける。
tranexamic_acid,トラネキサム酸,tranexamic acid,反転・止血・血液製剤,02_DRUG_PROFILES_SAFE_KNOWLEDGE/reversal_hemostasis_blood_products/tranexamic_acid.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,外傷、SAH、ICH、周術期など文脈を分ける。万能止血薬として扱わない。
rfviia,rFVIIa,recombinant activated factor VII,反転・止血・血液製剤,02_DRUG_PROFILES_SAFE_KNOWLEDGE/reversal_hemostasis_blood_products/rfviia.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,自然発症ICHの一般候補として扱わない。血栓リスクと適応を厳密に確認する。
desmopressin,デスモプレシン,desmopressin,反転・止血・血液製剤,02_DRUG_PROFILES_SAFE_KNOWLEDGE/reversal_hemostasis_blood_products/desmopressin.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,尿毒症、抗血小板薬、低Naリスク、体液管理を分ける。
fibrinogen_product,フィブリノゲン製剤,fibrinogen product,反転・止血・血液製剤,02_DRUG_PROFILES_SAFE_KNOWLEDGE/reversal_hemostasis_blood_products/fibrinogen_product.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,国内承認、適応、輸血・凝固検査、施設運用を確認する。
vancomycin,バンコマイシン,vancomycin,抗菌薬・TDM・中枢感染,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_tdm/vancomycin.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,AUC/TDM概念、採血時刻、投与歴、腎機能、感染部位、培養を分ける。数値運用はoperator-side。
teicoplanin,テイコプラニン,teicoplanin,抗菌薬・TDM・中枢感染,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_tdm/teicoplanin.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,TDM、腎機能、感染部位、ローディング運用はoperator-sideで扱う。
meropenem,メロペネム,meropenem,抗菌薬・TDM・中枢感染,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_tdm/meropenem.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,中枢感染、腎機能、局所感受性、投与設計を分ける。
cefazolin,セファゾリン,cefazolin,抗菌薬・TDM・中枢感染,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_tdm/cefazolin.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,周術期予防、アレルギー、腎機能、院内プロトコルを分ける。
cefepime,セフェピム,cefepime,抗菌薬・TDM・中枢感染,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_tdm/cefepime.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,腎機能障害時の神経毒性リスク、中枢疾患、局所感受性を確認する。
ceftazidime,セフタジジム,ceftazidime,抗菌薬・TDM・中枢感染,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_tdm/ceftazidime.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,抗緑膿菌文脈、腎機能、局所感受性、中枢感染文脈を分ける。
ceftriaxone,セフトリアキソン,ceftriaxone,抗菌薬・TDM・中枢感染,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_tdm/ceftriaxone.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,中枢移行、胆道系副作用、相互作用、適応を確認する。
piperacillin_tazobactam,ピペラシリン/タゾバクタム,piperacillin/tazobactam,抗菌薬・TDM・中枢感染,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_tdm/piperacillin_tazobactam.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,腎機能、局所感受性、感染部位、混注・投与設計はoperator-side。
linezolid,リネゾリド,linezolid,抗菌薬・TDM・中枢感染,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_tdm/linezolid.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,血小板減少、相互作用、治療期間、感染部位を確認する。
daptomycin,ダプトマイシン,daptomycin,抗菌薬・TDM・中枢感染,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_tdm/daptomycin.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,肺炎適応ではない点、CK、腎機能、感染部位を確認する。
voriconazole,ボリコナゾール,voriconazole,抗菌薬・TDM・中枢感染,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_tdm/voriconazole.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,TDM、肝機能、QT、相互作用、視覚症状を確認する。数値目標はoperator-side。
amphotericin_b,アムホテリシンB,amphotericin B,抗菌薬・TDM・中枢感染,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_tdm/amphotericin_b.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,製剤差、腎毒性、電解質、投与反応、感染部位を確認する。
acyclovir,アシクロビル,acyclovir,抗菌薬・TDM・中枢感染,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_tdm/acyclovir.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,腎機能、神経毒性、結晶尿、投与経路を確認する。
mannitol,マンニトール,mannitol,脳浮腫・頭蓋内圧・循環管理,02_DRUG_PROFILES_SAFE_KNOWLEDGE/hyperosmolar_icp_bp/mannitol.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,ICP/脳浮腫の文脈、腎機能、血清浸透圧、循環状態を分ける。予防投与として単純化しない。
hypertonic_saline,高張食塩液,hypertonic saline,脳浮腫・頭蓋内圧・循環管理,02_DRUG_PROFILES_SAFE_KNOWLEDGE/hyperosmolar_icp_bp/hypertonic_saline.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,製剤濃度、投与経路、Na管理、院内手順に依存する。数値目標はoperator-side。
glycerol,グリセオール,glycerol/fructose,脳浮腫・頭蓋内圧・循環管理,02_DRUG_PROFILES_SAFE_KNOWLEDGE/hyperosmolar_icp_bp/glycerol.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,国内製品、代謝、腎機能、糖代謝、適応を確認する。
nicardipine,ニカルジピン,nicardipine,脳浮腫・頭蓋内圧・循環管理,02_DRUG_PROFILES_SAFE_KNOWLEDGE/hyperosmolar_icp_bp/nicardipine.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,降圧目標は疾患・時期・施設手順で異なる。投与設計はoperator-side。
clevidipine,クレビジピン,clevidipine,脳浮腫・頭蓋内圧・循環管理,02_DRUG_PROFILES_SAFE_KNOWLEDGE/hyperosmolar_icp_bp/clevidipine.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,国内承認・採用・脂質製剤関連注意を製品単位で確認する。
labetalol,ラベタロール,labetalol,脳浮腫・頭蓋内圧・循環管理,02_DRUG_PROFILES_SAFE_KNOWLEDGE/hyperosmolar_icp_bp/labetalol.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,国内利用可能性、喘息、徐脈、心不全、救急運用を確認する。
norepinephrine,ノルアドレナリン,norepinephrine,脳浮腫・頭蓋内圧・循環管理,02_DRUG_PROFILES_SAFE_KNOWLEDGE/hyperosmolar_icp_bp/norepinephrine.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,昇圧目標、血管外漏出、中心静脈・末梢投与可否は院内手順に依存する。
dopamine,ドパミン,dopamine,脳浮腫・頭蓋内圧・循環管理,02_DRUG_PROFILES_SAFE_KNOWLEDGE/hyperosmolar_icp_bp/dopamine.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,適応、頻脈、不整脈、循環目標、院内プロトコルを確認する。
dobutamine,ドブタミン,dobutamine,脳浮腫・頭蓋内圧・循環管理,02_DRUG_PROFILES_SAFE_KNOWLEDGE/hyperosmolar_icp_bp/dobutamine.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,心機能、血圧、ICU方針、併用昇圧薬を確認する。
vasopressin,バソプレシン,vasopressin,脳浮腫・頭蓋内圧・循環管理,02_DRUG_PROFILES_SAFE_KNOWLEDGE/hyperosmolar_icp_bp/vasopressin.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,ショック、尿崩症、Na、水分管理、適応を分けて確認する。
dexamethasone,デキサメタゾン,dexamethasone,ステロイド・内分泌・代謝,02_DRUG_PROFILES_SAFE_KNOWLEDGE/steroids_endocrine_metabolic/dexamethasone.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,腫瘍性浮腫、感染、血糖、消化管、精神症状、漸減を分ける。ICHや脳梗塞の一般浮腫治療と混同しない。
methylprednisolone,メチルプレドニゾロン,methylprednisolone,ステロイド・内分泌・代謝,02_DRUG_PROFILES_SAFE_KNOWLEDGE/steroids_endocrine_metabolic/methylprednisolone.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,適応、感染、血糖、精神症状、漸減、製品情報を確認する。
hydrocortisone,ヒドロコルチゾン,hydrocortisone,ステロイド・内分泌・代謝,02_DRUG_PROFILES_SAFE_KNOWLEDGE/steroids_endocrine_metabolic/hydrocortisone.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,副腎不全、ショック、内分泌文脈、血糖・感染を確認する。
insulin,インスリン,insulin,ステロイド・内分泌・代謝,02_DRUG_PROFILES_SAFE_KNOWLEDGE/steroids_endocrine_metabolic/insulin.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,血糖プロトコルは院内運用そのもの。Custom GPTで投与量を扱わない。
hyperkalemia_treatments,高カリウム血症治療薬,hyperkalemia treatments,ステロイド・内分泌・代謝,02_DRUG_PROFILES_SAFE_KNOWLEDGE/steroids_endocrine_metabolic/hyperkalemia_treatments.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,心電図、腎機能、透析、原因薬剤、緊急度で分ける。具体運用はoperator-side。
sodium_correction_agents,低Na/高Na補正関連薬剤,sodium correction related agents,ステロイド・内分泌・代謝,02_DRUG_PROFILES_SAFE_KNOWLEDGE/steroids_endocrine_metabolic/sodium_correction_agents.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,補正速度、症状、期間、原因、輸液製剤は院内手順で扱う。Custom GPTに数値ルールを入れない。
propofol,プロポフォール,propofol,鎮静・鎮痛・せん妄・麻酔関連,02_DRUG_PROFILES_SAFE_KNOWLEDGE/sedation_analgesia_delirium/propofol.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,気道、循環、脂質、PRIS、鎮静深度、ICU運用を確認する。投与速度はoperator-side。
dexmedetomidine,デクスメデトミジン,dexmedetomidine,鎮静・鎮痛・せん妄・麻酔関連,02_DRUG_PROFILES_SAFE_KNOWLEDGE/sedation_analgesia_delirium/dexmedetomidine.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,徐脈、低血圧、覚醒度、呼吸状態、ICU運用を確認する。
midazolam,ミダゾラム,midazolam,鎮静・鎮痛・せん妄・麻酔関連,02_DRUG_PROFILES_SAFE_KNOWLEDGE/sedation_analgesia_delirium/midazolam.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,鎮静、けいれん、呼吸抑制、蓄積、腎肝機能を分ける。
fentanyl,フェンタニル,fentanyl,鎮静・鎮痛・せん妄・麻酔関連,02_DRUG_PROFILES_SAFE_KNOWLEDGE/sedation_analgesia_delirium/fentanyl.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,呼吸抑制、便秘、せん妄、腎肝機能、耐性、投与経路を確認する。
remifentanil,レミフェンタニル,remifentanil,鎮静・鎮痛・せん妄・麻酔関連,02_DRUG_PROFILES_SAFE_KNOWLEDGE/sedation_analgesia_delirium/remifentanil.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,麻酔・ICU文脈、呼吸循環、投与設計はoperator-side。
morphine,モルヒネ,morphine,鎮静・鎮痛・せん妄・麻酔関連,02_DRUG_PROFILES_SAFE_KNOWLEDGE/sedation_analgesia_delirium/morphine.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,腎機能、呼吸抑制、意識障害、便秘、投与経路を確認する。
haloperidol,ハロペリドール,haloperidol,鎮静・鎮痛・せん妄・麻酔関連,02_DRUG_PROFILES_SAFE_KNOWLEDGE/sedation_analgesia_delirium/haloperidol.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,QT、錐体外路症状、せん妄原因評価、投与経路を確認する。
quetiapine,クエチアピン,quetiapine,鎮静・鎮痛・せん妄・麻酔関連,02_DRUG_PROFILES_SAFE_KNOWLEDGE/sedation_analgesia_delirium/quetiapine.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,嚥下、鎮静、血糖、QT、せん妄原因評価を確認する。
risperidone,リスペリドン,risperidone,鎮静・鎮痛・せん妄・麻酔関連,02_DRUG_PROFILES_SAFE_KNOWLEDGE/sedation_analgesia_delirium/risperidone.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,錐体外路症状、QT、嚥下、せん妄原因評価を確認する。
acetaminophen,アセトアミノフェン,acetaminophen,鎮静・鎮痛・せん妄・麻酔関連,02_DRUG_PROFILES_SAFE_KNOWLEDGE/sedation_analgesia_delirium/acetaminophen.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,肝機能、総投与量、配合剤、投与経路を確認する。数値上限はoperator-side。
nsaids,NSAIDs,non-steroidal anti-inflammatory drugs,鎮静・鎮痛・せん妄・麻酔関連,02_DRUG_PROFILES_SAFE_KNOWLEDGE/sedation_analgesia_delirium/nsaids.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,腎機能、出血、抗血栓薬併用、消化管、周術期を確認する。
statins,スタチン,statins,慢性期・再発予防・支持療法,02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_prevention_supportive/statins.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,脳血管二次予防、肝機能、筋症状、相互作用を分ける。製品別確認が必要。
ace_inhibitors,ACE阻害薬,ACE inhibitors,慢性期・再発予防・支持療法,02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_prevention_supportive/ace_inhibitors.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,腎機能、K、血圧、周術期、禁忌を製品単位で確認する。
arbs,ARB,angiotensin receptor blockers,慢性期・再発予防・支持療法,02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_prevention_supportive/arbs.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,腎機能、K、血圧、周術期、製品差を確認する。
calcium_channel_blockers,Ca拮抗薬,calcium channel blockers,慢性期・再発予防・支持療法,02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_prevention_supportive/calcium_channel_blockers.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,急性期降圧、慢性期降圧、相互作用、浮腫を分ける。
diuretics,利尿薬,diuretics,慢性期・再発予防・支持療法,02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_prevention_supportive/diuretics.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,体液量、電解質、腎機能、心不全、ICP文脈との混同を避ける。
beta_blockers,β遮断薬,beta blockers,慢性期・再発予防・支持療法,02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_prevention_supportive/beta_blockers.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,徐脈、喘息、心不全、周術期、血圧管理を確認する。
diabetes_drugs,糖尿病薬,diabetes drugs,慢性期・再発予防・支持療法,02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_prevention_supportive/diabetes_drugs.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,絶食、造影、腎機能、低血糖、周術期を確認する。
ppi_h2_blockers,PPI/H2ブロッカー,PPI and H2 receptor antagonists,慢性期・再発予防・支持療法,02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_prevention_supportive/ppi_h2_blockers.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,ストレス潰瘍予防、抗血小板薬相互作用、腎機能、感染リスクを確認する。
laxatives_antiemetics,下剤・制吐薬,laxatives and antiemetics,慢性期・再発予防・支持療法,02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_prevention_supportive/laxatives_antiemetics.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,便秘、腸閉塞、QT、電解質、嚥下、術後文脈を確認する。
edaravone,エダラボン,edaravone,脳梗塞急性期・脳保護薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/acute_ischemic_stroke/edaravone.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,
ozagrel,オザグレルナトリウム,ozagrel sodium,TXA2合成酵素阻害薬・抗血小板/脳血管攣縮関連,02_DRUG_PROFILES_SAFE_KNOWLEDGE/acute_ischemic_stroke/ozagrel.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,
fasudil,ファスジル塩酸塩,fasudil hydrochloride,Rhoキナーゼ阻害薬・SAH術後脳血管攣縮薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/sah_vasospasm/fasudil.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,
clazosentan,クラゾセンタンナトリウム,clazosentan sodium,エンドセリン受容体拮抗薬・SAH術後脳血管攣縮薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/sah_vasospasm/clazosentan.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,
alteplase,アルテプラーゼ,alteplase,血栓溶解薬・急性期虚血性脳血管障害,02_DRUG_PROFILES_SAFE_KNOWLEDGE/acute_ischemic_stroke/alteplase.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,
argatroban,アルガトロバン水和物,argatroban,選択的抗トロンビン薬・急性期脳血栓症,02_DRUG_PROFILES_SAFE_KNOWLEDGE/acute_ischemic_stroke/argatroban.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,
urokinase,ウロキナーゼ,urokinase,血栓溶解薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/acute_ischemic_stroke/urokinase.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,
