drug_key,japanese_name,english_name,generic_name,synonyms,drug_class,domain,priority,gap_type,profile_path,pmda_product_level_verified,source_status,knowledge_layer_status,human_review_required,facility_confirmation_required,operator_side_required,source_ids,last_source_check_date,why,product_examples,efficacy_examples,efficacy_or_context_examples,why_added,safety_focus
thiopental,チオペンタールナトリウム,thiopental sodium,thiopental sodium,ラボナール|thiopental|barbiturate coma,バルビツレート・麻酔/難治性ICP,neurocritical_care,A,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/thiopental.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,TBI_NEUROCRITICAL_REVIEW_2019,2026-06-03,難治性ICP/麻酔導入/痙攣重積などで文脈上重要。循環抑制と脳波/ICU管理が必要。,,,,,
thiamylal,チアミラールナトリウム,thiamylal sodium,thiamylal sodium,イソゾール|thiamylal|barbiturate,バルビツレート・麻酔/難治性ICP,neurocritical_care,A,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/thiamylal.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,TBI_NEUROCRITICAL_REVIEW_2019,2026-06-03,脳外麻酔・救急で使われうる。チオペンタール等との薬剤名/剤形差を混同しないため追加。,,,,,
pentobarbital,ペントバルビタール,pentobarbital,pentobarbital,pentobarbital|barbiturate coma,バルビツレート・難治性ICP/難治性てんかん重積,neurocritical_care,B,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/pentobarbital.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,TBI_NEUROCRITICAL_REVIEW_2019,2026-06-03,海外/集中治療文献でバルビツレート昏睡として出る。国内採用・適応は別確認が必要。,,,,,
remimazolam,レミマゾラム,remimazolam,remimazolam besylate,アネレム|remimazolam,ベンゾジアゼピン系全身麻酔薬,neurocritical_care,B,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/remimazolam.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,麻酔・内視鏡/手術鎮静文脈で重要度上昇。ミダゾラム・プロポフォールとの比較で混同しやすい。,,,,,
ketamine,ケタミン,ketamine,ketamine,ケタラール|NMDA antagonist,鎮痛・鎮静・麻酔薬,neurocritical_care,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/ketamine.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,鎮痛鎮静、気管挿管、重症頭部外傷で議論される。ICPに関する古い禁忌的理解と現代解釈を混同しない。,,,,,
rocuronium,ロクロニウム臭化物,rocuronium bromide,rocuronium bromide,エスラックス|neuromuscular blocker,筋弛緩薬,neurocritical_care,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/rocuronium.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,挿管・術中管理・ICP上昇回避に関連。鎮静鎮痛を伴わない不動化は危険であり境界明記が必要。,,,,,
sugammadex,スガマデクスナトリウム,sugammadex sodium,sugammadex sodium,ブリディオン|rocuronium reversal,筋弛緩回復薬,neurocritical_care,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/sugammadex.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,ロクロニウム拮抗、術後呼吸安全に関連。腎機能、再クラーレ化、アナフィラキシー等を確認。,,,,,
vitamin_k,ビタミンK製剤,vitamin K,phytonadione / menatetrenone etc.,フィトナジオン|メナテトレノン|warfarin reversal,ワルファリン反転補助,reversal_hemostasis,A,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/reversal_hemostasis_blood_products/vitamin_k.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,PCCだけではワルファリン反転の持続性説明が不完全。PCC/FFP/ビタミンKの役割分離が必須。,,,,,
cryoprecipitate,クリオプレシピテート,cryoprecipitate,cryoprecipitate,クリオ|低フィブリノゲン|fibrinogen source,血液製剤・低フィブリノゲン補正,reversal_hemostasis,A,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/reversal_hemostasis_blood_products/cryoprecipitate.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_BLOOD_PRODUCT_POLICY_REQUIRED,2026-06-03,大量出血・低フィブリノゲン・DIC/周術期出血で重要。施設運用と輸血部方針依存が大きい。,,,,,
red_blood_cell_concentrate,赤血球濃厚液,red blood cell concentrate,red blood cell concentrate,RBC|RCC|赤血球液|輸血,血液製剤・貧血/出血補正,reversal_hemostasis,A,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/reversal_hemostasis_blood_products/red_blood_cell_concentrate.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_TRANSFUSION_POLICY_REQUIRED,2026-06-03,周術期・外傷・出血性脳卒中で重要。Hb閾値だけでなく脳虚血・循環・出血源制御を確認する必要。,,,,,
albumin,アルブミン製剤,albumin preparation,human serum albumin,アルブミナー|献血アルブミン|膠質液,血液分画製剤・循環管理,neurocritical_care,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/reversal_hemostasis_blood_products/albumin.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_BLOOD_PRODUCT_POLICY_REQUIRED,2026-06-03,SAH/TBI/ICU体液管理で出る。低Alb補正目的だけの安易な使用、膠質浸透圧、保険/輸血管理を分ける。,,,,,
ampicillin,アンピシリン,ampicillin,ampicillin,ABPC|ビクシリン|Listeria coverage,抗菌薬・髄膜炎/リステリア対応,cns_infection,A,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_cns_infection/ampicillin.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,JSGN_MENINGITIS_GL_2014,2026-06-03,成人髄膜炎、50歳以上/免疫低下/Listeria文脈で重要。セフトリアキソン/VCMだけでは不十分。,,,,,
cefotaxime,セフォタキシム,cefotaxime,cefotaxime,CTX|クラフォラン|third generation cephalosporin,第3世代セフェム・髄膜炎,cns_infection,A,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_cns_infection/cefotaxime.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,JSGN_MENINGITIS_GL_2014,2026-06-03,セフトリアキソンと並ぶ髄膜炎主要第3世代セフェム。院内採用差が出るため候補止まりは不十分。,,,,,
sulbactam_ampicillin,スルバクタム/アンピシリン,sulbactam/ampicillin,sulbactam sodium / ampicillin sodium,SBT/ABPC|ユナシン|誤嚥性肺炎,βラクタマーゼ阻害薬配合ペニシリン,cns_infection_supportive,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_cns_infection/sulbactam_ampicillin.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_ANTIMICROBIAL_GUIDE_REQUIRED,2026-06-03,脳外病棟の誤嚥性肺炎・術後感染で頻出。髄膜炎標準薬と混同しない。,,,,,
metronidazole,メトロニダゾール,metronidazole,metronidazole,MNZ|フラジール|anaerobe coverage,抗嫌気性菌薬,cns_infection_supportive,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_cns_infection/metronidazole.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_ANTIMICROBIAL_GUIDE_REQUIRED,2026-06-03,脳膿瘍、嫌気性菌、口腔/副鼻腔由来感染で文脈上重要。中枢移行性と原因菌推定を確認。,,,,,
levofloxacin,レボフロキサシン,levofloxacin,levofloxacin,LVFX|クラビット|fluoroquinolone,ニューキノロン系抗菌薬,cns_infection_supportive,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_cns_infection/levofloxacin.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_ANTIMICROBIAL_GUIDE_REQUIRED,2026-06-03,中枢感染の第一選択ではないが、病棟感染・腎機能・QT・痙攣リスクで脳外RAGに必要。,,,,,
tolvaptan,トルバプタン,tolvaptan,tolvaptan,サムスカ|V2 receptor antagonist|SIADH,V2受容体拮抗薬・水利尿薬,endocrine_electrolyte,A,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/endocrine_electrolyte/tolvaptan.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,SIADH/低Na補正で出るが、SAH後CSWと混同すると危険。Na補正速度・適応・保険・院内運用を明示。,,,,,
fludrocortisone,フルドロコルチゾン,fludrocortisone,fludrocortisone acetate,フロリネフ|mineralocorticoid|CSW,鉱質コルチコイド・低Na/CSW関連,endocrine_electrolyte,A,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/endocrine_electrolyte/fludrocortisone.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,SAH後低Na、CSW文脈で言及される。SIADHとの鑑別を強制するRAG境界が必要。,,,,,
furosemide,フロセミド,furosemide,furosemide,ラシックス|loop diuretic,ループ利尿薬・体液管理,endocrine_electrolyte,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/endocrine_electrolyte/furosemide.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,ICU体液管理、心不全、肺水腫、Na管理で頻出。脳浮腫薬としての誤用を避ける。,,,,,
levothyroxine,レボチロキシン,levothyroxine,levothyroxine sodium,チラーヂンS|thyroid hormone,甲状腺ホルモン薬,endocrine_electrolyte,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/endocrine_electrolyte/levothyroxine.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,下垂体・視床下部疾患、周術期内分泌評価で必要。副腎不全未補正での甲状腺ホルモン投与リスクを境界化。,,,,,
landiolol,ランジオロール塩酸塩,landiolol hydrochloride,landiolol hydrochloride,オノアクト|ultra-short acting beta blocker,短時間作用型β1遮断薬,neurocritical_care_circulation,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/landiolol.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,周術期頻脈・AF・血圧管理で重要。低血圧/徐脈により脳灌流圧を悪化させうる。,,,,,
esmolol,エスモロール塩酸塩,esmolol hydrochloride,esmolol hydrochloride,ブレビブロック|short acting beta blocker,短時間作用型β遮断薬,neurocritical_care_circulation,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/esmolol.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,周術期循環管理で文脈上必要。ランジオロールとの国内採用・薬事差を確認。,,,,,
nitroglycerin,ニトログリセリン,nitroglycerin,nitroglycerin,ミリスロール|nitric oxide donor,硝酸薬・降圧/冠血管拡張,neurocritical_care_circulation,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/nitroglycerin.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,周術期・ICU降圧で出る。ICP/脳灌流圧への影響、ニカルジピン等との使い分けが必要。,,,,,
nitroprusside,ニトロプルシドナトリウム,sodium nitroprusside,sodium nitroprusside,ニトプロ|nitroprusside,血管拡張薬・降圧薬,neurocritical_care_circulation,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/nitroprusside.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,急速降圧文脈で出るが、脳圧・シアン中毒等の安全境界が必要。施設採用確認必須。,,,,,
ibudilast,イブジラスト,ibudilast,ibudilast,ケタス|Ketas|脳循環改善薬|PDE阻害薬,慢性脳循環障害改善薬・PDE阻害薬,chronic_post_stroke_symptoms,A,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_post_stroke_symptoms/ibudilast.md,False,unresolved_manual_review_required,active_profile_candidate,True,True,True,MHLW_DRUG_CLASSIFICATION_REV13;RADAR_IBUDILAST_PATIENT_INFO,2026-06-03,脳梗塞後遺症めまいの文脈で質問されやすい。急性期脳梗塞治療薬として出してはいけない。,ケタスカプセル等,脳梗塞後遺症に伴う慢性脳循環障害によるめまいの改善,,,
ifenprodil,イフェンプロジル酒石酸塩,ifenprodil tartrate,ifenprodil tartrate,セロクラール|Cerocral|イフェンプロジル,脳循環改善薬,chronic_post_stroke_symptoms,A,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_post_stroke_symptoms/ifenprodil.md,False,unresolved_manual_review_required,active_profile_candidate,True,True,True,PMDA_IFENPRODIL_CEROCRAL;PMDA_IFENPRODIL_GENERIC,2026-06-03,脳梗塞後遺症・脳出血後遺症のめまいで重要。頭蓋内出血後止血未完成では禁忌/注意が必要。,セロクラール錠等,脳梗塞後遺症、脳出血後遺症に伴うめまいの改善,,,
nicergoline,ニセルゴリン,nicergoline,nicergoline,サアミオン|Sermion|ニセルゴリン錠,慢性脳循環障害改善薬,chronic_post_stroke_symptoms,A,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_post_stroke_symptoms/nicergoline.md,False,unresolved_manual_review_required,active_profile_candidate,True,True,True,PMDA_NICERGOLINE_GENERIC,2026-06-03,脳梗塞後遺症の意欲低下で質問されやすい。急性期治療や認知症万能薬として出してはいけない。,サアミオン錠等,脳梗塞後遺症に伴う慢性脳循環障害による意欲低下の改善,,,
amantadine,アマンタジン塩酸塩,amantadine hydrochloride,amantadine hydrochloride,シンメトレル|Symmetrel|アマンタジン,ドパミン作動系・NMDA関連薬,chronic_post_stroke_symptoms,A,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_post_stroke_symptoms/amantadine.md,False,unresolved_manual_review_required,active_profile_candidate,True,True,True,KEGG_JAPIC_AMANTADINE;PMDA_CURRENT_LABEL_REQUIRED,2026-06-03,腎機能・高齢者・幻覚せん妄・インフルエンザ/パーキンソン病適応との混同が重要。,シンメトレル錠等,脳梗塞後遺症に伴う意欲・自発性低下の改善,,,
tiapride,チアプリド,tiapride,tiapride hydrochloride,グラマリール|Gramalil|チアプリド錠,ドパミンD2受容体遮断薬・精神神経症状改善薬,chronic_post_stroke_symptoms,A,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_post_stroke_symptoms/tiapride.md,False,unresolved_manual_review_required,active_profile_candidate,True,True,True,KEGG_JAPIC_TIAPRIDE;JAPIC_TIAPRIDE_PINS,2026-06-03,脳梗塞後遺症の行動症状で使われるが、抗精神病薬様副作用、錐体外路症状、QT、嚥下/転倒リスクを分ける必要がある。,グラマリール錠等,脳梗塞後遺症に伴う攻撃的行為、精神興奮、徘徊、せん妄の改善,,,
citicoline,シチコリン,citicoline,citicoline,ニコリン|Nicholin|CDP-choline,脳代謝賦活・意識障害改善薬,consciousness_recovery_neurorehab,A,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/consciousness_recovery_neurorehab/citicoline.md,False,unresolved_manual_review_required,active_profile_candidate,True,True,True,PMDA_CITICOLINE_CURRENT_LABEL_REQUIRED,2026-06-03,脳外病棟で意識障害・リハビリ文脈に出る。適応条件が複雑なのでRAGが雑に推奨しないようprofile化する。,ニコリン注射液等,頭部外傷・脳手術・脳梗塞急性期に伴う意識障害、脳卒中片麻痺患者の上肢機能回復促進など,,,
meclofenoxate_injection,メクロフェノキサート塩酸塩（注射）,meclofenoxate hydrochloride injection,meclofenoxate hydrochloride,注射用ルシドリール|Lucidril injection,脳代謝賦活・意識障害改善薬,consciousness_recovery_neurorehab,B,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/consciousness_recovery_neurorehab/meclofenoxate_injection.md,False,unresolved_manual_review_required,active_profile_candidate_current_status_must_verify,True,True,True,PMDA_MECLOFENOXATE_CURRENT_LABEL_REQUIRED,2026-06-03,注射と内服で文脈が違う。現行販売・供給・採用確認なしに現役薬として扱うと危険。,注射用ルシドリール,頭部外傷の急性期における意識障害、脳術後の意識障害,,,
meclofenoxate_oral,メクロフェノキサート塩酸塩（内服）,meclofenoxate hydrochloride oral,meclofenoxate hydrochloride,ルシドリール錠|Lucidril tablet,脳代謝賦活・頭部外傷後遺症薬,post_traumatic_brain_injury_sequelae,B,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/post_traumatic_brain_injury_sequelae/meclofenoxate_oral.md,False,unresolved_manual_review_required,active_profile_candidate_current_status_must_verify,True,True,True,MHLW_DRUG_CLASSIFICATION_REV13;PMDA_MECLOFENOXATE_CURRENT_LABEL_REQUIRED,2026-06-03,頭部外傷後遺症の古い処方・資料で出る。注射剤と内服剤を分ける必要がある。,ルシドリール錠等,頭部外傷後遺症におけるめまい,,,
solcoseryl_calf_blood_extract,幼牛血液抽出注射剤,deproteinized calf blood extract,calf blood extract preparation,ソルコセリル|Solcoseryl|幼牛血液抽出物,歴史的・組織修復/代謝関連薬,post_traumatic_brain_injury_sequelae,B,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/post_traumatic_brain_injury_sequelae/solcoseryl_calf_blood_extract.md,False,unresolved_manual_review_required,current_status_high_risk_verify_before_use,True,True,True,PMDA_SOLCOSERYL_CURRENT_STATUS_REQUIRED,2026-06-03,現行承認・販売・供給状況の確認が必須。RAGでは推奨薬として出さず、照会時に確認事項を返す。,ソルコセリル注,頭部外傷後遺症、脳梗塞・脳出血に伴う随伴症状等,,,
isoxsuprine,イソクスプリン塩酸塩,isoxsuprine hydrochloride,isoxsuprine hydrochloride,ズファジラン|Duvadilan|イソクスプリン,血管拡張薬・循環改善薬,post_traumatic_brain_injury_sequelae,B,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/post_traumatic_brain_injury_sequelae/isoxsuprine.md,False,unresolved_manual_review_required,active_profile_candidate_current_status_must_verify,True,True,True,MHLW_DRUG_CLASSIFICATION_REV13;PMDA_ISOXSUPRINE_CURRENT_LABEL_REQUIRED,2026-06-03,古い頭部外傷後遺症文脈で出る。末梢血管拡張薬としての副作用・低血圧と混同防止が必要。,ズファジラン錠等,頭部外傷後遺症に伴う随伴症状,,,
dihydroergotoxine,ジヒドロエルゴトキシンメシル酸塩,dihydroergotoxine mesilate,dihydroergotoxine mesilate,ヒデルギン|Hydergine|dihydroergotoxine,エルゴットアルカロイド系・脳循環/代謝関連,post_traumatic_brain_injury_sequelae,B,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/post_traumatic_brain_injury_sequelae/dihydroergotoxine.md,False,unresolved_manual_review_required,active_profile_candidate_current_status_must_verify,True,True,True,MHLW_DRUG_CLASSIFICATION_REV13;PMDA_DIHYDROERGOTOXINE_CURRENT_LABEL_REQUIRED,2026-06-03,古い薬剤で、血管収縮/相互作用/妊娠などの注意を確認すべき。現代の推奨薬扱いは不可。,ヒデルギン舌下錠等,頭部外傷後遺症に伴う随伴症状,,,
adenosine_triphosphate_disodium,アデノシン三リン酸二ナトリウム水和物,adenosine triphosphate disodium hydrate,adenosine triphosphate disodium hydrate,ATP|アデホス-Lコーワ|Adefos,代謝賦活・循環改善関連薬,post_traumatic_brain_injury_sequelae,B,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/post_traumatic_brain_injury_sequelae/adenosine_triphosphate_disodium.md,False,unresolved_manual_review_required,active_profile_candidate_current_status_must_verify,True,True,True,MHLW_DRUG_CLASSIFICATION_REV13;PMDA_ATP_CURRENT_LABEL_REQUIRED,2026-06-03,耳鳴・めまい等でも出るため、頭部外傷後遺症の文脈と一般代謝/循環改善を混同しやすい。,アデホス-Lコーワ注等,頭部外傷後遺症に伴う諸症状の改善,,,
