source_path,source_type,category,included_in_package,used_for,knowledge_target,reason_if_excluded,size_bytes,last_review_needed
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/08_Negative_Knowledge/Layer2薬剤_標準化しない事項.md,markdown,negative_knowledge,yes,guardrails,knowledge/03_HIGH_RISK_WARNINGS_AND_NEGATIVE_KNOWLEDGE.md,,3239,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/11_CDS_Candidates/High_Constraint_Input_Control_候補.md,markdown,cds_candidate,yes,cds_boundary,knowledge/11_CDS_CANDIDATE_BOUNDARIES.md,,3782,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/11_CDS_Candidates/Readiness_Assessment/CDS_Readiness_Assessment.md,markdown,cds_readiness,yes,cds_boundary,knowledge/11_CDS_CANDIDATE_BOUNDARIES.md,,3253,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/91_AI_Error_Tests/高リスク誤回答テスト_拡張版.md,markdown,ai_error_tests,yes,test_scenarios,knowledge/12_AI_ERROR_TESTS_AND_VALIDATION.md;tests/preview_test_cases.md,,3303,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/91_AI_Error_Tests/Layer2薬剤誤回答テスト.md,markdown,ai_error_tests,yes,test_scenarios,knowledge/12_AI_ERROR_TESTS_AND_VALIDATION.md,,3546,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/91_AI_Error_Tests/Validation_Audit_Operations_誤回答テスト.md,markdown,ai_error_tests,yes,test_scenarios,knowledge/12_AI_ERROR_TESTS_AND_VALIDATION.md;audit/rag_export_audit_checklist.md,,3637,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/90_Audit/RAG_Export監査チェックリスト.md,markdown,audit,yes,audit_basis,knowledge/13_AUDIT_LOGS_AND_UPDATE_OPERATIONS.md;audit/rag_export_audit_checklist.md,,2626,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/90_Audit/更新トリガー監査表.md,markdown,audit,yes,audit_basis,knowledge/13_AUDIT_LOGS_AND_UPDATE_OPERATIONS.md;audit/update_trigger_checklist.md,,2566,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/90_Audit/監査ログテンプレート.md,markdown,audit,yes,audit_basis,knowledge/13_AUDIT_LOGS_AND_UPDATE_OPERATIONS.md;audit/human_review_log_template.md,,2638,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/10_Operationalization/Committee_Approval/委員会承認チェックリスト.md,markdown,operationalization,yes,facility_checks,knowledge/10_OPERATIONAL_AND_FACILITY_CHECKLISTS.md,,2709,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/10_Operationalization/Formulary_Stock/施設採用品_夜間休日在庫チェックリスト.md,markdown,operationalization,yes,facility_checks,knowledge/10_OPERATIONAL_AND_FACILITY_CHECKLISTS.md,,2908,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/10_Operationalization/Nursing_Monitoring/看護観察体制チェックリスト.md,markdown,operationalization,yes,facility_checks,knowledge/10_OPERATIONAL_AND_FACILITY_CHECKLISTS.md,,2746,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/10_Operationalization/Pharmacy_Workflow/薬剤部調製_払い出しチェックリスト.md,markdown,operationalization,yes,facility_checks,knowledge/10_OPERATIONAL_AND_FACILITY_CHECKLISTS.md,,2779,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/10_Operationalization/Transfusion_Workflow/輸血部運用チェックリスト.md,markdown,operationalization,yes,facility_checks,knowledge/10_OPERATIONAL_AND_FACILITY_CHECKLISTS.md,,2668,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/10_Operationalization/Unit_Operation/ICU_SCU_HCU_一般病棟運用チェックリスト.md,markdown,operationalization,yes,facility_checks,knowledge/10_OPERATIONAL_AND_FACILITY_CHECKLISTS.md,,2747,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/12_Evidence/Primary_Source_Checklists/PMDA電子添文チェックリスト.md,markdown,evidence,yes,primary_source_checks,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,,2916,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/12_Evidence/Primary_Source_Checklists/RMP_安全性情報チェックリスト.md,markdown,evidence,yes,primary_source_checks,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,,2790,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/12_Evidence/Primary_Source_Checklists/周術期抗菌薬_感染制御チェックリスト.md,markdown,evidence,yes,primary_source_checks,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,,2843,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/12_Evidence/Primary_Source_Checklists/輸血療法関連指針チェックリスト.md,markdown,evidence,yes,primary_source_checks,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,,2865,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/12_Evidence/Guideline_Checklists/国内脳卒中GLチェックリスト.md,markdown,evidence,yes,guideline_checks,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,,2784,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/12_Evidence/Guideline_Checklists/海外主要GLチェックリスト.md,markdown,evidence,yes,guideline_checks,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,,2810,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/12_Evidence/RCT_Checklists/CRASH-3チェックリスト.md,markdown,evidence,yes,rct_checks,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,,2502,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/12_Evidence/RCT_Checklists/TICH-2チェックリスト.md,markdown,evidence,yes,rct_checks,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,,2540,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/12_Evidence/RCT_Checklists/ULTRAチェックリスト.md,markdown,evidence,yes,rct_checks,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,,2543,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Validation_Reports/integrated_file_inventory.csv,csv,validation_report,yes,traceability_seed,manifest/file_inventory.csv,,14639,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Validation_Reports/upload_bundle_inventory.csv,csv,validation_report,yes,traceability_seed,manifest/file_inventory.csv;manifest/source_to_knowledge_mapping.csv,,516,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Validation_Reports/final_qc_report.md,markdown,validation_report,yes,qc_summary,manifest/build_notes.md;knowledge/13_AUDIT_LOGS_AND_UPDATE_OPERATIONS.md,,982,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/CSV_Masters/layer1_drug_notes_master.csv,csv,master_csv,yes,layer1_reference,knowledge/05_DRUG_CLASS_AND_LAYER2_DRUG_NOTES.md,,3745,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/CSV_Masters/layer2_indexed_drug_master.csv,csv,master_csv,yes,layer2_reference,knowledge/05_DRUG_CLASS_AND_LAYER2_DRUG_NOTES.md,,12393,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/CSV_Masters/validation_ai_error_tests.csv,csv,master_csv,yes,validation_reference,knowledge/12_AI_ERROR_TESTS_AND_VALIDATION.md;tests/preview_test_cases.md,,1332,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/CSV_Masters/external_primary_source_checklist_master.csv,csv,master_csv,yes,primary_source_reference,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,,1608,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/CSV_Masters/facility_confirmation_master.csv,csv,master_csv,yes,facility_reference,knowledge/10_OPERATIONAL_AND_FACILITY_CHECKLISTS.md,,1331,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/CSV_Masters/conditions_thresholds_audit_master.csv,csv,master_csv,yes,threshold_reference,knowledge/08_THRESHOLDS_AND_CONDITIONS.md,,1415,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/CSV_Masters/cds_readiness_master.csv,csv,master_csv,yes,cds_reference,knowledge/11_CDS_CANDIDATE_BOUNDARIES.md,,786,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/CSV_Masters/rct_checklist_master.csv,csv,master_csv,yes,evidence_reference,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,,592,yes
