source_path,target_knowledge_file,transformation_type,coverage_scope,safety_notes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/10_Operationalization/Unit_Operation/ICU_SCU_HCU_一般病棟運用チェックリスト.md,knowledge/10_OPERATIONAL_AND_FACILITY_CHECKLISTS.md,direct_checklist_import,unit_operation_checks,avoid ICU-only therapy leakage to general ward assumptions
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/04_evidence_operations_cds_audit_tests.md,knowledge/11_CDS_CANDIDATE_BOUNDARIES.md,bundle_split,cds_candidate_boundary,keep candidates separate from implementation specs
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/11_CDS_Candidates/High_Constraint_Input_Control_候補.md,knowledge/11_CDS_CANDIDATE_BOUNDARIES.md,direct_boundary_import,input_control_boundary,require multi-axis gating before output
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/11_CDS_Candidates/Readiness_Assessment/CDS_Readiness_Assessment.md,knowledge/11_CDS_CANDIDATE_BOUNDARIES.md,direct_boundary_import,readiness_assessment,implementation needs acceptance tests and governance
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/04_evidence_operations_cds_audit_tests.md,knowledge/12_AI_ERROR_TESTS_AND_VALIDATION.md,bundle_split,ai_error_tests_and_validation,tests are validation assets not clinical directions
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/91_AI_Error_Tests/高リスク誤回答テスト_拡張版.md,knowledge/12_AI_ERROR_TESTS_AND_VALIDATION.md,direct_test_import,high_risk_error_test_suite,preserve fail conditions around unsafe certainty
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/91_AI_Error_Tests/Layer2薬剤誤回答テスト.md,knowledge/12_AI_ERROR_TESTS_AND_VALIDATION.md,direct_test_import,layer2_drug_error_suite,drug-name-only errors must fail
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/91_AI_Error_Tests/Validation_Audit_Operations_誤回答テスト.md,knowledge/12_AI_ERROR_TESTS_AND_VALIDATION.md,direct_test_import,validation_audit_operations_suite,operations and audit answers must preserve non-implementation boundary
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/04_evidence_operations_cds_audit_tests.md,knowledge/13_AUDIT_LOGS_AND_UPDATE_OPERATIONS.md,bundle_split,audit_and_update_operations,updates must remain traceable
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/90_Audit/RAG_Export監査チェックリスト.md,knowledge/13_AUDIT_LOGS_AND_UPDATE_OPERATIONS.md,direct_audit_import,rag_export_audit,preserve export-time checklist before upload
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/90_Audit/更新トリガー監査表.md,knowledge/13_AUDIT_LOGS_AND_UPDATE_OPERATIONS.md,direct_audit_import,update_trigger_audit,preserve explicit update trigger list
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/90_Audit/監査ログテンプレート.md,knowledge/13_AUDIT_LOGS_AND_UPDATE_OPERATIONS.md,direct_audit_import,audit_log_template,preserve human review traceability
