file,role,upload_to_custom_gpt,human_review_required,reason_if_not_uploaded
tests/response_style_regression_assets.md,test,no,yes,operator-side regression assets
tests/validate_upload_manifest.py,test,no,yes,operator-side validation script
tests/validate_unsafe_patterns.py,test,no,yes,operator-side unsafe-pattern validation script
tests/validate_quarantine_integrity.py,test,no,yes,operator-side quarantine validation script
tests/validate_review_state_integrity.py,test,no,yes,operator-side review-state validation script
tests/validate_release_readiness.py,test,no,yes,operator-side release-readiness validation script
tests/validate_reference_migration_ledger.py,test,no,yes,operator-side reference migration ledger validation script
tests/validate_facility_confirmation_status.py,test,no,yes,operator-side facility confirmation validation script
tests/validate_derived_export_candidate_ledger.py,test,no,yes,operator-side derived export candidate ledger validation script
manifest/knowledge_chunk_review_crosswalk.csv,manifest,no,yes,operator-side review and unresolved tracking register
manifest/_DRAFT_parent_child_diff_report.md,manifest,no,yes,operator-side Phase 0 PARENT/CHILD diff DRAFT
tests/_generate_gap_v3_parent_ledger_rows.py,test,no,yes,operator-side PARENT ledger row generator
audit/gap_v3_pharmacist_facility_review_log_20260604.md,audit,no,yes,operator-side gap v3 pharmacist/facility repo-local review
tests/validate_collision_governance.py,test,no,yes,operator-side Gap V3 collision governance validation
manifest/gap_v3_export_gate_summary.md,manifest,no,yes,operator-side Gap V3 export gate summary (archive manifests)
tests/validate_gap_v3_review_ready.py,test,no,yes,operator-side Gap V3 review-ready gate validation
manifest/classification_vocabulary_registry.md,manifest,no,yes,operator-side Stage 2 classification vocabulary registry
tests/validate_classification_vocabulary.py,test,no,yes,operator-side Stage 2 classification vocabulary validation
scripts/_apply_stage2_classification_vocabulary.py,test,no,yes,operator-side Stage 2 vocabulary column generator
audit/STAGE2_CLASSIFICATION_LEDGER_AUDIT_REPORT_20260605.md,audit,no,yes,operator-side Stage 2 classification ledger audit
scripts/_apply_stage3_label_offlabel_governance.py,test,no,yes,operator-side Stage 3 integrated governance apply helper
audit/STAGE3_INTEGRATED_GOVERNANCE_AUDIT_REPORT_20260605.md,audit,no,yes,operator-side Stage 3 integrated label/off-label governance audit
scripts/_apply_stage4_knowledge_boundary_export.py,test,no,yes,operator-side Stage 4 knowledge boundary export helper
audit/STAGE4_KNOWLEDGE_BOUNDARY_EXPORT_AUDIT_REPORT_20260605.md,audit,no,yes,operator-side Stage 4 knowledge boundary export audit
audit/STAGE5_READINESS_AND_BLOCKERS_20260605.md,audit,no,yes,operator-side Stage 5 readiness and blockers (no promotion)
audit/preview_evidence_collection_checklist.md,audit,no,yes,operator-side Stage 5 Preview evidence collection checklist
audit/collision_rag_regression_evidence_collection.md,audit,no,yes,operator-side Stage 5 collision RAG 21-question evidence checklist
audit/collision_rag_regression_results_PENDING.csv,audit,no,yes,operator-side collision regression results pending slots (pass_fail empty)
audit/preview_promotion_candidates_report_20260605.csv,audit,no,yes,operator-side preview promotion candidate report snapshot
audit/STAGE5A_EVIDENCE_COLLECTION_OPERATOR_CHECKLIST.md,audit,no,yes,operator-side Stage 5A unified evidence collection checklist
audit/STAGE5A_READINESS_REPORT_20260605.md,audit,no,yes,operator-side Stage 5A readiness report
audit/STAGE5A_READINESS_REPORT_20260604.md,audit,no,yes,operator-side Stage 5A readiness report (post Stage 6/6C refresh)
audit/preview_promotion_candidates_report_20260604.csv,audit,no,yes,operator-side preview promotion candidate report snapshot 2026-06-04
audit/STAGE6_NO_EDIT_AUDIT_20260605.md,audit,no,yes,operator-side Stage 6 no-edit audit
audit/STAGE6_CHILD_GAP_RECONCILIATION_MATRIX_20260605.csv,audit,no,yes,operator-side Stage 6 CHILD-gap reconciliation matrix
audit/STAGE6_COMPLETION_REPORT_20260605.md,audit,no,yes,operator-side Stage 6 PMDA/IF register completion report
audit/STAGE6C_BATCH_ASSIGNMENTS.json,audit,no,yes,operator-side Stage6C/D STAGE6C_BATCH_ASSIGNMENTS.json
audit/STAGE6C_BATCH_C-002_REVIEW_PACKET.md,audit,no,yes,operator-side Stage6C/D STAGE6C_BATCH_C-002_REVIEW_PACKET.md
audit/STAGE6C_BATCH_C-003_REVIEW_PACKET.md,audit,no,yes,operator-side Stage6C/D STAGE6C_BATCH_C-003_REVIEW_PACKET.md
audit/STAGE6C_BATCH_C-004_REVIEW_PACKET.md,audit,no,yes,operator-side Stage6C/D STAGE6C_BATCH_C-004_REVIEW_PACKET.md
audit/STAGE6C_BATCH_C-005_REVIEW_PACKET.md,audit,no,yes,operator-side Stage6C/D STAGE6C_BATCH_C-005_REVIEW_PACKET.md
audit/STAGE6C_BATCH_C-006_REVIEW_PACKET.md,audit,no,yes,operator-side Stage6C/D STAGE6C_BATCH_C-006_REVIEW_PACKET.md
audit/STAGE6C_BATCH_C-007_REVIEW_PACKET.md,audit,no,yes,operator-side Stage6C/D STAGE6C_BATCH_C-007_REVIEW_PACKET.md
audit/STAGE6C_BATCH_C-008_REVIEW_PACKET.md,audit,no,yes,operator-side Stage6C/D STAGE6C_BATCH_C-008_REVIEW_PACKET.md
audit/STAGE6C_BATCH_C-009_REVIEW_PACKET.md,audit,no,yes,operator-side Stage6C/D STAGE6C_BATCH_C-009_REVIEW_PACKET.md
audit/STAGE6C_BATCH_C-010_REVIEW_PACKET.md,audit,no,yes,operator-side Stage6C/D STAGE6C_BATCH_C-010_REVIEW_PACKET.md
audit/STAGE6C_BATCH_C-011_REVIEW_PACKET.md,audit,no,yes,operator-side Stage6C/D STAGE6C_BATCH_C-011_REVIEW_PACKET.md
audit/STAGE6C_BATCH_C-012_REVIEW_PACKET.md,audit,no,yes,operator-side Stage6C/D STAGE6C_BATCH_C-012_REVIEW_PACKET.md
audit/STAGE6C_BATCH_C-013_REVIEW_PACKET.md,audit,no,yes,operator-side Stage6C/D STAGE6C_BATCH_C-013_REVIEW_PACKET.md
audit/STAGE6C_BATCH_C-014_REVIEW_PACKET.md,audit,no,yes,operator-side Stage6C/D STAGE6C_BATCH_C-014_REVIEW_PACKET.md
audit/STAGE6C_BATCH_C-015_REVIEW_PACKET.md,audit,no,yes,operator-side Stage6C/D STAGE6C_BATCH_C-015_REVIEW_PACKET.md
audit/STAGE6C_BATCH_C-016_REVIEW_PACKET.md,audit,no,yes,operator-side Stage6C/D STAGE6C_BATCH_C-016_REVIEW_PACKET.md
audit/STAGE6C_BATCH_C-017_REVIEW_PACKET.md,audit,no,yes,operator-side Stage6C/D STAGE6C_BATCH_C-017_REVIEW_PACKET.md
audit/STAGE6C_BATCH_C-018_REVIEW_PACKET.md,audit,no,yes,operator-side Stage6C/D STAGE6C_BATCH_C-018_REVIEW_PACKET.md
audit/STAGE6C_NEURO_PRIORITY_DRUG_LIST_20260605.csv,audit,no,yes,operator-side Stage6C/D STAGE6C_NEURO_PRIORITY_DRUG_LIST_20260605.csv
audit/STAGE6C_PHARMACIST_IF_REVIEW_OPERATOR_GUIDE.md,audit,no,yes,operator-side Stage6C/D STAGE6C_PHARMACIST_IF_REVIEW_OPERATOR_GUIDE.md
audit/STAGE6C_D_COMPLETION_REPORT_20260605.md,audit,no,yes,operator-side Stage6C/D completion report
audit/JAPANESE_MEDICAL_DOCUMENT_PREWORK_REPORT_20260605.md,audit,no,yes,operator-side Japanese medical document prework report
docs/japanese_medical_writing_style_guide.md,doc,no,yes,operator-side Japanese medical writing style guide
docs/custom_gpt_knowledge_safety_boundary.md,doc,no,yes,operator-side Custom GPT Knowledge safety boundary
docs/clinical_document_structure_standard.md,doc,no,yes,operator-side clinical document structure standard
docs/llm_answer_transfer_rules.md,doc,no,yes,operator-side LLM answer transfer rules
docs/emergency_reference_readability_rules.md,doc,no,yes,operator-side emergency readability rules
templates/drug_page_template.md,template,no,yes,operator-side drug page template
templates/disease_page_template.md,template,no,yes,operator-side disease page template
templates/facility_review_checklist.md,template,no,yes,operator-side facility review checklist template
audit/japanese_expression_risk_ledger.csv,audit,no,yes,operator-side Japanese expression risk ledger
audit/japanese_expression_scan_report.md,audit,no,yes,operator-side Japanese expression scan report
audit/japanese_medical_document_quality_audit.md,audit,no,yes,operator-side Japanese medical document quality audit
audit/JAPANESE_KNOWLEDGE_13_STYLE_APPLICATION_PREWORK_20260605.md,audit,no,yes,operator-side Knowledge 13 Japanese style application prework
audit/KNOWLEDGE_13_JAPANESE_STYLE_APPLICATION_RUNBOOK_20260605.md,audit,no,yes,operator-side Knowledge 13 Japanese style runbook
audit/japanese_plain_language_rewrite_ledger.csv,audit,no,yes,operator-side Japanese plain language rewrite ledger
audit/abbreviation_first_use_review_ledger.csv,audit,no,yes,operator-side abbreviation first-use review ledger
audit/knowledge_13_japanese_rewrite_patch_proposals_20260605.md,audit,no,yes,operator-side proposed-only Knowledge 13 Japanese rewrite patches
docs/role_based_readability_rules.md,doc,no,yes,operator-side role-based readability rules
tests/japanese_medical_output_quality_preview_tests.md,test,no,yes,operator-side Japanese medical output quality Preview tests
tests/validate_japanese_expression_ledger.py,test,no,yes,operator-side Japanese expression ledger validator
tests/validate_abbreviation_first_use_ledger.py,test,no,yes,operator-side abbreviation first-use ledger validator
tests/validate_plain_language_rewrite_ledger.py,test,no,yes,operator-side plain language rewrite ledger validator
tests/validate_japanese_preview_quality_tests.py,test,no,yes,operator-side Japanese Preview quality tests validator
audit/JAPANESE_KNOWLEDGE_13_STYLE_APPLICATION_COMPLETION_REPORT_20260605.md,audit,no,yes,operator-side Knowledge 13 Japanese style application completion report
audit/JAPANESE_MEDICAL_DOCUMENT_COMPLETION_REPORT_20260605.md,audit,no,yes,operator-side Japanese medical document completion report
